DATE	u3rate	January	February	March	April	May	June	July	August	September	October	November	December
1/1/1948	4	1	0	0	0	0	0	0	0	0	0	0	0
2/1/1948	4.7	0	1	0	0	0	0	0	0	0	0	0	0
3/1/1948	4.5	0	0	1	0	0	0	0	0	0	0	0	0
4/1/1948	4	0	0	0	1	0	0	0	0	0	0	0	0
5/1/1948	3.4	0	0	0	0	1	0	0	0	0	0	0	0
6/1/1948	3.9	0	0	0	0	0	1	0	0	0	0	0	0
7/1/1948	3.9	0	0	0	0	0	0	1	0	0	0	0	0
8/1/1948	3.6	0	0	0	0	0	0	0	1	0	0	0	0
9/1/1948	3.4	0	0	0	0	0	0	0	0	1	0	0	0
10/1/1948	2.9	0	0	0	0	0	0	0	0	0	1	0	0
11/1/1948	3.3	0	0	0	0	0	0	0	0	0	0	1	0
12/1/1948	3.6	0	0	0	0	0	0	0	0	0	0	0	1
1/1/1949	5	1	0	0	0	0	0	0	0	0	0	0	0
2/1/1949	5.8	0	1	0	0	0	0	0	0	0	0	0	0
3/1/1949	5.6	0	0	1	0	0	0	0	0	0	0	0	0
4/1/1949	5.4	0	0	0	1	0	0	0	0	0	0	0	0
5/1/1949	5.7	0	0	0	0	1	0	0	0	0	0	0	0
6/1/1949	6.4	0	0	0	0	0	1	0	0	0	0	0	0
7/1/1949	7	0	0	0	0	0	0	1	0	0	0	0	0
8/1/1949	6.3	0	0	0	0	0	0	0	1	0	0	0	0
9/1/1949	5.9	0	0	0	0	0	0	0	0	1	0	0	0
10/1/1949	6.1	0	0	0	0	0	0	0	0	0	1	0	0
11/1/1949	5.7	0	0	0	0	0	0	0	0	0	0	1	0
12/1/1949	6	0	0	0	0	0	0	0	0	0	0	0	1
1/1/1950	7.6	1	0	0	0	0	0	0	0	0	0	0	0
2/1/1950	7.9	0	1	0	0	0	0	0	0	0	0	0	0
3/1/1950	7.1	0	0	1	0	0	0	0	0	0	0	0	0
4/1/1950	6	0	0	0	1	0	0	0	0	0	0	0	0
5/1/1950	5.3	0	0	0	0	1	0	0	0	0	0	0	0
6/1/1950	5.6	0	0	0	0	0	1	0	0	0	0	0	0
